City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cabo San Lucas,MX,85.17,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
9,Lompoc,US,81.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
24,Kieta,PG,83.14,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
31,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
34,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
37,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Hobyo,SO,77.79,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
41,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
43,Vitorino Freire,BR,84.67,broken clouds,-4.0667,-45.1667,Francelina
48,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Auki,SB,84.36,scattered clouds,-8.7676,160.7034,Auki Motel
58,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
60,Porbandar,IN,79.74,clear sky,21.6422,69.6093,Lords Inn Porbandar
68,Hithadhoo,MV,80.85,overcast clouds,-0.6,73.0833,Scoop Guest House
72,Alta Floresta,BR,78.75,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
73,Atuona,PF,76.66,clear sky,-9.8,-139.0333,Villa Enata
78,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
79,Tautira,PF,76.39,light rain,-17.7333,-149.15,Pension Oaoa
81,El Retorno,CO,78.24,broken clouds,2.3302,-72.6276,Hostal la posada de Rita
82,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
93,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
94,Makakilo City,US,86.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
108,Bac Lieu,VN,77.25,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
112,Touros,BR,77.95,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
117,Buchanan,LR,77.41,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
121,Bocana De Paiwas,NI,83.21,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
124,Panaba,MX,80.44,light rain,21.2833,-88.2667,Hotel Don Fernando
129,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
130,Butaritari,KI,81.66,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
135,Mana,GF,80.51,overcast clouds,5.6592,-53.7767,LE SAMANA
141,Chabahar,IR,79.43,few clouds,25.2919,60.643,هتل گدروشیا
152,Nouadhibou,MR,84.18,sand,20.931,-17.0347,El Medina
155,San Pedro,PH,77.32,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
158,Esna,EG,77.02,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
163,Kapaa,US,83.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
164,Riyadh,SA,75.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
171,Nueva Loja,EC,78.82,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
179,Cravo Norte,CO,83.59,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
183,Atambua,ID,76.68,overcast clouds,-9.1061,124.8925,Ros Muskanan
188,Labuhan,ID,77.63,moderate rain,-6.8844,112.2051,DoubleFAG
190,Nicoya,CR,80.33,moderate rain,10.1483,-85.452,Las Cabinas Del Sueño
193,Clemencia,CO,85.37,light rain,10.5665,-75.325,Casa de Miguel Ángel Vasquez
195,Saint George,US,84.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
196,Bandarbeyla,SO,77.94,few clouds,9.4942,50.8122,JABIR HOTEL
200,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
202,Bonthe,SL,77.92,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
207,Basco,PH,78.46,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
211,Ukiah,US,88.38,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
212,Matara,LK,76.48,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
214,Bubaque,GW,81.91,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
217,Sam Phran,TH,75.96,overcast clouds,13.727,100.2153,Suan Sampran
218,La Peca,PE,82.69,light rain,-5.6111,-78.435,Hospedaje San Miguelito
224,Pandan,PH,79.38,overcast clouds,14.0453,124.1694,Bonifacio Lodge
229,Puerto Madero,MX,81.0,moderate rain,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
231,Faanui,PF,77.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
233,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
236,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
238,Akyab,MM,76.01,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
239,Sinnamary,GF,80.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
240,Nuevitas,CU,81.32,scattered clouds,21.5453,-77.2644,Hotel Caonaba
246,Narasannapeta,IN,75.83,overcast clouds,18.4167,84.05,AVK events and catering
252,Guerrero Negro,MX,82.71,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
254,Buala,SB,83.79,light rain,-8.145,159.5921,Maringe Lagoon Lodge
262,Mazatlan,MX,87.03,few clouds,23.2167,-106.4167,Hotel La Siesta
265,Puerto Escondido,MX,78.01,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
271,Kavaratti,IN,80.38,overcast clouds,10.5669,72.642,Green leaf
274,Mount Isa,AU,76.77,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
280,Ridgecrest,US,89.65,scattered clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
281,Ayorou,NE,89.06,few clouds,14.7308,0.9174,Hotel Amenokal
288,Banda Aceh,ID,78.49,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
290,Hillsborough,US,86.31,clear sky,37.5741,-122.3794,Hyatt Regency San Francisco Airport
291,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
294,San Matias,BO,87.26,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
296,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
297,Barahona,DO,87.62,scattered clouds,18.2085,-71.1008,Hotel Caribe
299,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
303,Marrakesh,MA,80.67,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
304,Conceicao Do Araguaia,BR,88.63,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
305,Parrita,CR,78.94,overcast clouds,9.5201,-84.3225,Beso del Viento
315,Half Moon Bay,US,87.53,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
