City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,7.03,91,98,4.05,overcast clouds
1,Jamestown,US,42.097,-79.2353,40.59,89,100,17.27,overcast clouds
2,Cabo San Lucas,MX,22.8909,-109.9124,85.17,67,34,5.21,scattered clouds
3,Wakkanai,JP,45.4094,141.6739,48.42,55,100,24.79,overcast clouds
4,Broome,US,42.2506,-75.833,48.15,63,100,9.22,overcast clouds
5,Komsomolskiy,UZ,40.4272,71.7189,56.12,76,75,2.3,light rain
6,Saldanha,ZA,-33.0117,17.9442,59.05,95,72,12.28,broken clouds
7,Chokurdakh,RU,70.6333,147.9167,4.37,98,97,4.79,overcast clouds
8,Saskylakh,RU,71.9167,114.0833,18.9,86,100,14.38,overcast clouds
9,Lompoc,US,34.6391,-120.4579,81.79,56,0,12.66,clear sky
10,East London,ZA,-33.0153,27.9116,69.8,91,99,4.34,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,56.48,42,69,8.03,broken clouds
12,Bluff,NZ,-46.6,168.3333,56.8,60,73,17.74,broken clouds
13,Ostrovnoy,RU,68.0531,39.5131,40.03,67,100,28.52,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,51.91,43,20,31.07,few clouds
15,Hilo,US,19.7297,-155.09,91.27,71,0,8.05,clear sky
16,Kapenguria,KE,1.2511,35.0895,57.15,83,78,1.99,broken clouds
17,Ushuaia,AR,-54.8,-68.3,46.06,66,40,26.46,scattered clouds
18,Constitucion,CL,-35.3333,-72.4167,56.01,72,96,3.27,overcast clouds
19,Villanueva,HN,15.3167,-88.0,92.39,55,40,8.05,scattered clouds
20,Nikolskoye,RU,59.7035,30.7861,44.49,91,100,4.99,overcast clouds
21,Busselton,AU,-33.65,115.3333,54.16,82,3,8.21,clear sky
22,Rio Grande,BR,-32.035,-52.0986,64.51,91,100,19.98,overcast clouds
23,Atlantic City,US,39.3643,-74.4229,56.01,48,0,12.66,clear sky
24,Kieta,PG,-6.2167,155.6333,83.14,68,51,2.48,broken clouds
25,Hermanus,ZA,-34.4187,19.2345,64.8,93,30,9.13,scattered clouds
26,Hobart,AU,-42.8794,147.3294,56.05,81,75,8.05,broken clouds
27,Kamennomostskoye,RU,43.7372,43.0514,50.99,52,0,5.26,clear sky
28,Nanortalik,GL,60.1432,-45.2371,39.9,87,100,12.48,light rain
29,Rikitea,PF,-23.1203,-134.9692,68.94,61,0,17.87,clear sky
30,Tasiilaq,GL,65.6145,-37.6368,31.89,89,98,2.46,overcast clouds
31,Vaini,TO,-21.2,-175.2,80.76,94,75,9.22,broken clouds
32,New Norfolk,AU,-42.7826,147.0587,56.71,58,80,1.99,broken clouds
33,Severo-Kurilsk,RU,50.6789,156.125,40.96,70,45,33.69,light rain
34,Alofi,NU,-19.0595,-169.9187,80.49,69,75,13.8,broken clouds
35,San Rafael,AR,-34.6177,-68.3301,52.75,85,100,4.5,light rain
36,Barrow,US,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
37,Avarua,CK,-21.2078,-159.775,80.65,54,40,20.71,scattered clouds
38,Port Elizabeth,ZA,-33.918,25.5701,70.11,92,100,9.22,overcast clouds
39,Saint-Leu,RE,-21.15,55.2833,68.86,75,49,8.59,scattered clouds
40,Hobyo,SO,5.3505,48.5268,77.79,83,100,16.67,overcast clouds
41,Santa Cruz,BO,-17.8,-63.1667,76.46,69,75,12.66,broken clouds
42,Torbay,CA,47.6666,-52.7314,52.75,97,100,9.22,light intensity drizzle
43,Vitorino Freire,BR,-4.0667,-45.1667,84.67,48,72,3.62,broken clouds
44,Norman Wells,CA,65.282,-126.8329,39.24,87,75,2.3,broken clouds
45,Boende,CD,-0.2167,20.8667,70.66,98,44,0.49,light rain
46,Biloela,AU,-24.4167,150.5,67.3,89,100,11.01,light rain
47,Lokosovo,RU,61.1333,74.8167,39.33,87,100,10.96,overcast clouds
48,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,40,19.57,scattered clouds
49,Amapa,BR,1.0,-52.0,73.15,97,98,6.87,moderate rain
50,Taoudenni,ML,22.6783,-3.9836,90.86,14,97,7.92,overcast clouds
51,Kruisfontein,ZA,-34.0033,24.7314,67.89,99,58,2.62,broken clouds
52,Gorontalo,ID,0.5412,123.0595,74.62,95,100,2.89,overcast clouds
53,Carnarvon,AU,-24.8667,113.6333,66.18,82,0,10.47,clear sky
54,Auki,SB,-8.7676,160.7034,84.36,66,28,3.47,scattered clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,6.91,overcast clouds
56,Lagoa,PT,39.05,-27.9833,63.07,59,100,31.23,light rain
57,Khatanga,RU,71.9667,102.5,30.85,85,100,22.41,light snow
58,Salalah,OM,17.0151,54.0924,75.29,57,0,2.3,clear sky
59,Albany,US,42.6001,-73.9662,53.64,69,67,8.08,broken clouds
60,Porbandar,IN,21.6422,69.6093,79.74,56,10,8.46,clear sky
61,Avera,US,33.194,-82.5271,58.55,28,49,14.2,scattered clouds
62,Cape Town,ZA,-33.9258,18.4232,64.9,85,0,11.5,clear sky
63,Thinadhoo,MV,0.5333,72.9333,80.64,74,99,12.19,overcast clouds
64,Chunskiy,RU,56.0815,99.6342,37.29,88,87,6.38,overcast clouds
65,Mahebourg,MU,-20.4081,57.7,70.09,73,20,10.36,few clouds
66,Saint-Joseph,RE,-21.3667,55.6167,68.38,78,44,10.0,scattered clouds
67,Tongliao,CN,43.6125,122.2653,35.78,41,5,7.52,clear sky
68,Hithadhoo,MV,-0.6,73.0833,80.85,71,100,8.14,overcast clouds
69,Ponta Do Sol,PT,32.6667,-17.1,74.01,75,93,10.2,overcast clouds
70,Dikson,RU,73.5069,80.5464,28.11,86,100,13.87,overcast clouds
