City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tarko-Sale,RU,2022-10-15 16:54:14,64.9225,77.785,32.99,88,93,11.63
1,Jamestown,US,2022-10-15 16:54:14,42.097,-79.2353,55.04,58,100,19.57
2,Punta Arenas,CL,2022-10-15 16:54:15,-53.15,-70.9167,51.91,37,0,18.41
3,Bridlington,GB,2022-10-15 16:54:15,54.0831,-0.1919,53.89,68,41,23.89
4,Vao,NC,2022-10-15 16:54:15,-22.6667,167.4833,67.91,62,2,8.12
5,Rikitea,PF,2022-10-15 16:54:16,-23.1203,-134.9692,73.09,81,17,15.73
6,Kruisfontein,ZA,2022-10-15 16:54:16,-34.0033,24.7314,61.88,86,100,14.79
7,Chipinge,ZW,2022-10-15 16:54:17,-20.1883,32.6236,74.25,49,1,12.21
8,Busselton,AU,2022-10-15 16:54:17,-33.65,115.3333,48.15,86,94,7.65
9,Butaritari,KI,2022-10-15 16:54:17,3.0707,172.7902,80.94,74,69,19.86
10,Tabory,RU,2022-10-15 16:54:18,58.5198,64.5495,45.25,82,99,3.24
11,Kidal,ML,2022-10-15 16:54:18,18.4411,1.4078,94.78,7,1,7.18
12,Port Alfred,ZA,2022-10-15 16:54:18,-33.5906,26.891,64.18,88,100,5.99
13,Chokurdakh,RU,2022-10-15 16:54:19,70.6333,147.9167,9.3,97,95,7.99
14,Bredasdorp,ZA,2022-10-15 16:54:19,-34.5322,20.0403,59.2,88,100,20.76
15,Upernavik,GL,2022-10-15 16:54:19,72.7868,-56.1549,23.52,68,82,6.62
16,Qaracala,AZ,2022-10-15 16:54:20,39.8132,48.9523,66.72,66,100,18.97
17,Saint Anthony,US,2022-10-15 16:54:20,45.0205,-93.218,51.3,57,75,14.97
18,Ahipara,NZ,2022-10-15 16:54:20,-35.1667,173.1667,51.8,82,0,6.15
19,Gerash,IR,2022-10-15 16:54:21,27.6652,54.1371,80.74,19,0,3.71
20,Yellowknife,CA,2022-10-15 16:54:21,62.456,-114.3525,27.12,63,75,9.22
21,Ilulissat,GL,2022-10-15 16:54:22,69.2167,-51.1,24.58,64,23,7.94
22,Lavrentiya,RU,2022-10-15 16:54:22,65.5833,-171.0,28.11,82,40,14.9
23,Hobart,AU,2022-10-15 16:54:22,-42.8794,147.3294,46.26,80,100,5.75
24,Norman Wells,CA,2022-10-15 16:54:23,65.282,-126.8329,8.64,85,100,6.91
25,Quatre Cocos,MU,2022-10-15 16:54:23,-20.2078,57.7625,71.71,71,40,12.46
26,Tuktoyaktuk,CA,2022-10-15 16:54:23,69.4541,-133.0374,26.6,80,75,13.8
27,Manuk Mangkaw,PH,2022-10-15 16:54:24,4.8,119.85,83.08,74,70,4.09
28,Atuona,PF,2022-10-15 16:52:29,-9.8,-139.0333,76.19,73,10,15.3
29,Ponta Do Sol,PT,2022-10-15 16:54:24,32.6667,-17.1,76.01,74,63,2.68
30,Lisakovsk,KZ,2022-10-15 16:53:06,52.5369,62.4936,44.78,54,16,10.09
31,Komsomolskiy,UZ,2022-10-15 16:54:25,40.4272,71.7189,59.72,38,8,2.3
32,Nanortalik,GL,2022-10-15 16:54:25,60.1432,-45.2371,40.62,79,0,1.45
33,Shangrao,CN,2022-10-15 16:54:25,28.4532,117.9686,63.5,81,0,2.95
34,Barrow,US,2022-10-15 16:53:35,71.2906,-156.7887,16.11,95,72,10.4
35,Rawson,AR,2022-10-15 16:50:54,-43.3002,-65.1023,69.71,31,99,9.71
36,Dikson,RU,2022-10-15 16:54:26,73.5069,80.5464,32.18,74,94,15.5
37,Noshiro,JP,2022-10-15 16:54:26,40.2039,140.0242,55.85,91,28,3.24
